City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,georgetown,5.4112,100.3354,26.96,83,20,2.06,MY,1678409698
1,tasiilaq,65.6145,-37.6368,-10.64,91,100,2.99,GL,1678409820
2,jamestown,42.097,-79.2353,-0.82,97,85,1.57,US,1678409806
3,kindu,-2.95,25.95,20.96,99,100,0.78,CD,1678410060
4,saint george,37.1041,-113.5841,18.3,19,61,2.24,US,1678409815
5,punta arenas,-53.15,-70.9167,9.06,76,75,4.63,CL,1678409600
6,la ronge,55.1001,-105.2842,-13.3,90,99,3.44,CA,1678410041
7,cape town,-33.9258,18.4232,17.99,86,40,1.54,ZA,1678409333
8,ushuaia,-54.8,-68.3,8.81,71,75,4.12,AR,1678409656
9,carnarvon,-24.8667,113.6333,25.04,55,0,8.42,AU,1678409824
10,albany,42.6001,-73.9662,1.31,69,96,1.34,US,1678409719
11,san cristobal,7.7669,-72.225,20.1,97,100,1.18,VE,1678409722
12,ulladulla,-35.35,150.4667,23.11,44,0,3.08,AU,1678410060
13,kidodi,-7.6036,37.0044,20.84,91,75,1.79,TZ,1678410060
14,vaini,-21.2,-175.2,29.09,61,40,5.66,TO,1678409802
15,port alfred,-33.5906,26.891,21.03,83,98,2.2,ZA,1678409805
16,kimberley,-28.7323,24.7623,17.81,25,0,2.44,ZA,1678410061
17,buin,-33.7333,-70.75,25.24,65,5,1.08,CL,1678409773
18,beringovskiy,63.05,179.3167,0.4,96,100,5.23,RU,1678409864
19,kieta,-6.2167,155.6333,27.42,78,100,1.99,PG,1678409866
20,lorengau,-2.0226,147.2712,29.07,72,100,1.99,PG,1678409818
21,flin flon,54.7682,-101.865,-16.59,97,100,1.57,CA,1678410061
22,fortuna,40.5982,-124.1573,9.64,95,100,11.32,US,1678409869
23,mataura,-46.1927,168.8643,19.63,39,76,2.79,NZ,1678409802
24,tuktoyaktuk,69.4541,-133.0374,-15.0,78,100,10.8,CA,1678409804
25,port harcourt,4.7774,7.0134,26.44,83,27,2.05,NG,1678409766
26,rikitea,-23.1203,-134.9692,25.57,82,21,3.81,PF,1678409807
27,ahuimanu,21.4447,-157.8378,26.31,53,12,2.68,US,1678410062
28,busselton,-33.65,115.3333,20.78,66,11,2.93,AU,1678409802
29,tabat,-2.635,115.2274,26.56,85,98,0.39,ID,1678410062
30,poum,-20.2333,164.0167,27.55,68,6,5.32,NC,1678410015
31,arzgir,45.3728,44.2206,6.87,73,84,3.01,RU,1678410062
32,chokurdakh,70.6333,147.9167,-29.49,97,45,2.63,RU,1678409835
33,bluff,-46.6,168.3333,16.02,64,14,8.73,NZ,1678409808
34,aleksandrov gay,50.147,48.5704,4.09,90,98,4.61,RU,1678410063
35,osmaniye,37.0742,36.2478,12.66,89,100,0.62,TR,1678409959
36,waingapu,-9.6567,120.2641,27.65,73,3,1.58,ID,1678410063
37,kapaa,22.0752,-159.319,25.66,47,45,2.24,US,1678409804
38,new norfolk,-42.7826,147.0587,20.4,56,100,3.58,AU,1678409806
39,balabac,7.9868,117.0645,27.12,75,18,5.51,PH,1678410063
40,saint-philippe,-21.3585,55.7679,22.28,89,79,5.52,RE,1678409812
41,vao,-22.6667,167.4833,25.39,67,1,3.27,NC,1678409851
42,upernavik,72.7868,-56.1549,-21.88,81,2,1.39,GL,1678409825
43,tala,30.6803,30.9429,11.98,53,0,3.63,EG,1678410063
44,cabedelo,-6.9811,-34.8339,27.37,76,100,5.79,BR,1678409848
45,hobart,-42.8794,147.3294,20.59,56,75,7.72,AU,1678409808
46,faanui,-16.4833,-151.75,28.36,71,100,6.19,PF,1678409810
47,kruisfontein,-34.0033,24.7314,14.94,88,0,1.47,ZA,1678409587
48,puerto escondido,15.85,-97.0667,25.5,73,0,1.98,MX,1678409835
49,mar del plata,-38.0023,-57.5575,23.94,89,0,5.14,AR,1678409820
50,katsuura,35.1333,140.3,16.42,76,100,10.03,JP,1678410038
51,sungaipenuh,-2.0833,101.3833,20.28,88,97,0.74,ID,1678410045
52,avarua,-21.2078,-159.775,24.03,100,100,2.57,CK,1678409821
53,mayo,38.8876,-76.5119,9.49,57,0,2.57,US,1678410039
54,ribeira grande,38.5167,-28.7,18.21,93,99,12.52,PT,1678409806
55,hermanus,-34.4187,19.2345,16.0,83,91,1.71,ZA,1678409805
56,port hardy,50.6996,-127.4199,8.1,57,20,4.63,CA,1678409859
57,bathsheba,13.2167,-59.5167,25.34,78,20,1.03,BB,1678409857
58,puerto ayora,-0.7393,-90.3518,25.86,92,34,2.5,EC,1678409805
59,ondjiva,-17.0667,15.7333,20.75,73,9,2.06,AO,1678410017
60,lagoa,39.05,-27.9833,17.44,86,100,15.22,PT,1678409853
61,domoni,-12.2569,44.5319,26.05,81,99,3.9,KM,1678410065
62,tuatapere,-46.1333,167.6833,18.35,47,79,3.74,NZ,1678409835
63,ukiah,39.1502,-123.2078,8.42,92,100,5.66,US,1678410065
64,airai,-8.9266,125.4092,21.3,64,16,0.8,TL,1678409829
65,ayan,56.45,138.1667,-10.59,89,100,5.04,RU,1678409872
66,sao filipe,14.8961,-24.4956,26.68,47,3,6.75,CV,1678409816
67,yulara,-25.2406,130.9889,25.67,28,0,3.92,AU,1678409832
68,sitka,57.0531,-135.33,-0.25,56,98,0.6,US,1678409828
69,husavik,66.0449,-17.3389,-8.45,76,100,9.67,IS,1678409849
70,tukrah,32.5341,20.5791,14.4,62,0,2.69,LY,1678409855
71,half moon bay,37.4636,-122.4286,11.9,86,100,14.4,US,1678410030
72,provideniya,64.3833,-173.3,-10.94,62,0,2.0,RU,1678409803
73,sangar,63.9242,127.4739,-12.14,84,100,8.74,RU,1678409812
74,mahebourg,-20.4081,57.7,26.16,94,75,3.09,MU,1678409819
75,ballitoville,-29.539,31.2144,25.14,91,100,2.62,ZA,1678410066
76,san jose,37.3394,-121.895,12.16,83,100,9.77,US,1678409704
77,lebu,-37.6167,-73.65,14.02,92,100,3.32,CL,1678409819
78,mangai,-4.05,19.5333,20.06,98,100,0.63,CD,1678410066
79,golden,39.7555,-105.2211,7.77,35,0,2.68,US,1678410066
80,gilgit,35.9221,74.3087,0.88,51,5,1.64,PK,1678410032
81,mayor pablo lagerenza,-19.9309,-60.7718,25.49,76,6,2.02,PY,1678410066
82,souillac,-20.5167,57.5167,26.21,94,75,3.09,MU,1678409844
83,vagay,57.9375,69.0217,-2.07,92,100,4.74,RU,1678410067
84,kostino,58.9097,53.2691,-2.03,98,100,2.14,RU,1678410067
85,port lincoln,-34.7333,135.8667,20.6,65,9,4.56,AU,1678409841
86,saskylakh,71.9167,114.0833,-33.86,99,26,2.26,RU,1678409828
87,saint-michel-des-saints,46.6834,-73.9159,-2.81,93,99,3.13,CA,1678410067
88,nanortalik,60.1432,-45.2371,-3.13,73,100,5.18,GL,1678409837
89,kahului,20.8947,-156.47,26.09,55,7,4.6,US,1678409802
90,hilo,19.7297,-155.09,28.49,75,35,1.79,US,1678409810
91,alihe,50.5667,123.7167,-5.46,92,100,2.85,CN,1678410067
92,cidreira,-30.1811,-50.2056,24.36,87,0,2.83,BR,1678409803
93,yellowknife,62.456,-114.3525,-9.71,62,20,5.14,CA,1678409812
94,qaanaaq,77.484,-69.3632,-12.89,60,16,3.96,GL,1678409807
95,bambous virieux,-20.3428,57.7575,26.14,94,75,3.09,MU,1678409818
96,saint-denis,48.9167,2.3333,11.43,87,75,9.26,FR,1678409882
97,quevedo,-1.0333,-79.45,23.52,94,100,1.77,EC,1678410041
98,dingle,10.9995,122.6711,26.49,72,61,3.9,PH,1678409817
99,alyangula,-13.8483,136.4192,27.94,59,4,1.51,AU,1678410041
100,lethem,3.3803,-59.7968,27.46,66,59,4.47,GY,1678410068
101,marsa matruh,31.3525,27.2453,15.58,81,0,5.95,EG,1678410068
102,inhambane,-23.865,35.3833,24.52,93,7,3.39,MZ,1678409848
103,negara,-8.3151,114.6025,26.67,81,18,0.68,ID,1678410068
104,kenai,60.5544,-151.2583,-0.25,98,84,2.14,US,1678410068
105,khasan,42.4308,130.6434,2.94,80,42,2.36,RU,1678409827
106,bethel,41.3712,-73.414,4.97,63,9,0.45,US,1678409805
107,altay,47.8667,88.1167,-11.57,56,15,3.27,CN,1678410068
108,el carmen,8.5106,-73.4478,20.13,89,47,1.42,CO,1678410069
109,bardiyah,31.7561,25.0865,14.03,84,0,2.91,LY,1678410069
110,sandwick,60.0,-1.25,-0.1,64,100,3.09,GB,1678410069
111,luderitz,-26.6481,15.1594,15.78,77,0,3.88,NA,1678409822
112,marienburg,54.0359,19.0266,2.24,66,100,4.12,PL,1678410069
113,warangal,18.0,79.5833,20.71,64,0,3.34,IN,1678410069
114,vaitape,-16.5167,-151.75,28.36,71,100,6.26,PF,1678410069
115,igrim,63.1906,64.4162,-4.08,88,10,5.0,RU,1678410069
116,lashio,22.9333,97.75,18.64,41,26,0.32,MM,1678410069
117,kavieng,-2.5744,150.7967,28.29,73,100,1.69,PG,1678409841
118,markova,48.6758,24.4138,3.69,86,19,2.65,UA,1678410070
119,grindavik,63.8424,-22.4338,-3.74,63,20,5.66,IS,1678410070
120,jalu,29.0331,21.5482,16.22,48,0,1.97,LY,1678409828
121,castro,-24.7911,-50.0119,17.68,98,100,1.2,BR,1678409824
122,west bay,19.3667,-81.4167,26.11,78,91,0.45,KY,1678410070
123,moba,33.2288,105.0179,8.8,82,100,0.19,CN,1678410070
124,kuzino,57.0224,59.4412,0.69,98,100,5.93,RU,1678410070
125,sotnikovo,51.8845,107.4791,-8.95,41,20,6.0,RU,1678410070
126,umm kaddadah,13.6017,26.6876,21.77,13,100,6.41,SD,1678410070
127,kavaratti,10.5669,72.642,27.77,67,78,3.23,IN,1678409830
128,foki,56.693,54.3499,1.35,99,100,6.23,RU,1678410071
129,dikson,73.5069,80.5464,-22.93,96,91,7.7,RU,1678409815
130,sinnamary,5.3833,-52.95,24.64,80,69,4.26,GF,1678410071
131,maksatikha,57.797,35.8825,-14.27,99,95,2.03,RU,1678410071
132,oloron-sainte-marie,43.1944,-0.6107,9.3,85,97,3.27,FR,1678410008
133,east london,-33.0153,27.9116,21.69,79,12,1.18,ZA,1678409811
134,roald,62.5833,6.1333,-4.92,68,18,6.69,NO,1678409867
135,coos bay,43.3665,-124.2179,7.95,96,100,2.51,US,1678410024
136,kloulklubed,7.0419,134.2556,28.23,77,16,5.79,PW,1678410052
137,mackenzie,55.2999,-123.1698,-6.45,91,45,0.9,CA,1678410071
138,charters towers,-20.1,146.2667,27.7,69,94,5.15,AU,1678409872
139,ano mera,37.45,25.4,15.92,86,19,7.57,GR,1678410072
140,hervey bay,-25.2986,152.8535,27.59,69,100,5.2,AU,1678410072
141,atuona,-9.8,-139.0333,26.7,77,34,3.36,PF,1678409802
142,birao,10.2849,22.7882,28.05,14,100,4.32,CF,1678410072
143,bredasdorp,-34.5322,20.0403,16.37,73,68,1.0,ZA,1678409815
144,thompson,55.7435,-97.8558,-9.91,52,0,2.06,CA,1678409807
145,pevek,69.7008,170.3133,-18.24,95,100,3.2,RU,1678409817
146,pangai,-19.8,-174.35,26.32,68,34,7.43,TO,1678410072
147,marechal candido rondon,-24.5561,-54.0567,21.12,91,100,2.38,BR,1678410072
148,samarai,-10.6167,150.6667,29.27,72,98,3.91,PG,1678410073
149,lavrentiya,65.5833,-171.0,-14.08,87,27,2.07,RU,1678410073
150,montepuez,-13.1256,38.9997,20.04,98,100,1.76,MZ,1678410073
151,nikolskoye,59.7035,30.7861,-17.06,100,60,1.55,RU,1678409813
152,vila velha,-20.3297,-40.2925,25.97,92,0,3.09,BR,1678409844
153,butaritari,3.0707,172.7902,27.45,77,97,5.7,KI,1678409806
154,providencia,28.7167,-111.5833,29.0,23,0,4.2,MX,1678410073
155,itoman,26.1247,127.6694,21.01,64,20,6.69,JP,1678409863
156,ekhabi,53.5102,142.9671,-6.25,89,22,4.09,RU,1678410073
157,barrow,71.2906,-156.7887,-21.58,96,96,1.69,US,1678409802
158,abu samrah,35.3029,37.1841,9.17,88,100,3.56,SY,1678410074
159,thaton,16.9206,97.3714,26.54,70,26,1.71,MM,1678410074
160,pimentel,-6.8367,-79.9342,24.53,87,98,2.53,PE,1678410074
161,jeremie,18.65,-74.1167,24.25,72,100,6.4,HT,1678410074
162,makakilo city,21.3469,-158.0858,25.66,55,1,6.27,US,1678410074
163,vila franca do campo,37.7167,-25.4333,17.23,94,100,10.87,PT,1678409858
164,camana,-16.6228,-72.7111,24.25,78,100,2.45,PE,1678410074
165,kamenskiy,50.8855,45.488,3.21,91,7,4.95,RU,1678410075
166,akyab,20.15,92.9,23.31,56,100,2.74,MM,1678410075
167,byron bay,-28.65,153.6167,26.51,81,100,4.02,AU,1678410046
168,hofn,64.2539,-15.2082,-7.38,61,77,10.5,IS,1678409820
169,santa monica,34.0195,-118.4912,20.14,70,40,4.63,US,1678410075
170,palmer,42.1584,-72.3287,3.79,50,21,0.45,US,1678409864
171,gombong,-7.6072,109.5142,26.91,81,93,0.98,ID,1678410075
172,gijon,43.5357,-5.6615,15.56,78,100,8.05,ES,1678409673
173,asau,46.4333,26.4,8.51,86,9,2.51,RO,1678409818
174,dawlatabad,36.4141,64.9053,18.56,43,99,1.46,AF,1678410076
175,flinders,-34.5833,150.8552,25.66,62,0,2.68,AU,1678410076
176,pocatello,42.8713,-112.4455,-4.54,85,99,2.73,US,1678410076
177,arhus,56.1567,10.2108,-0.23,79,48,1.67,DK,1678410076
178,arraial do cabo,-22.9661,-42.0278,24.98,88,0,6.17,BR,1678409821
179,harur,12.0667,78.5,18.66,93,96,0.63,IN,1678410076
180,rundu,-17.9333,19.7667,20.47,78,24,1.89,NA,1678410076
181,nome,64.5011,-165.4064,-11.05,75,2,0.92,US,1678410029
182,srednekolymsk,67.45,153.6833,-25.76,93,19,2.0,RU,1678410028
183,torbay,47.6666,-52.7314,-0.9,88,100,11.62,CA,1678409809
184,santiago del estero,-27.7951,-64.2615,27.88,48,0,4.78,AR,1678410077
185,daru,-9.0763,143.2092,29.33,69,100,2.47,PG,1678410077
186,isangel,-19.55,169.2667,31.06,58,20,2.06,VU,1678409819
187,necochea,-38.5473,-58.7368,21.21,73,100,7.93,AR,1678410021
188,khani,41.9563,42.9566,1.76,69,11,2.53,GE,1678410077
189,clyde river,70.4692,-68.5914,-16.87,78,0,3.09,CA,1678409826
190,omboue,-1.5746,9.2618,25.27,89,93,1.65,GA,1678410030
191,victoria,22.2855,114.1577,23.03,66,1,0.89,HK,1678409840
192,miraflores,19.2167,-98.8083,24.46,27,3,1.82,MX,1678410077
193,chicama,-7.8447,-79.1469,25.26,75,100,1.36,PE,1678410078
194,adrar,20.5022,-10.0711,22.85,14,0,4.76,MR,1678409825
195,saint-joseph,-21.3667,55.6167,24.15,88,84,5.95,RE,1678410078
196,sirvintos,55.05,24.95,-5.28,84,100,3.07,LT,1678410078
197,hamilton,39.1834,-84.5333,10.55,49,100,1.79,US,1678409613
198,porto belo,-27.1578,-48.5531,25.65,84,100,2.35,BR,1678410078
199,sola,-13.8833,167.55,27.37,76,100,2.56,VU,1678410078
200,kaitangata,-46.2817,169.8464,18.64,50,34,1.82,NZ,1678409860
201,rocha,-34.4833,-54.3333,17.7,96,0,2.49,UY,1678410040
202,antofagasta,-23.65,-70.4,21.6,86,40,1.95,CL,1678409830
203,san patricio,28.017,-97.5169,25.1,75,100,5.47,US,1678409843
204,ponta do sol,32.6667,-17.1,20.56,87,44,1.89,PT,1678409809
205,dao,11.3937,122.6856,25.01,71,68,3.07,PH,1678410078
206,vacha,55.8008,42.7706,-4.52,99,100,1.53,RU,1678410079
207,longyearbyen,78.2186,15.6401,-18.22,87,96,6.93,SJ,1678409806
208,vesyegonsk,58.664,37.2604,-15.54,99,49,1.84,RU,1678410079
209,klaksvik,62.2266,-6.589,-1.49,68,100,5.07,FO,1678409849
210,bastia,42.6667,9.3333,16.89,80,75,1.54,FR,1678410079
211,tiksi,71.6872,128.8694,-29.69,96,83,1.59,RU,1678409863
212,chapais,49.7834,-74.8492,-8.12,92,100,4.91,CA,1678410016
213,kodiak,57.79,-152.4072,4.89,71,0,4.75,US,1678409826
214,mormugao,15.4,73.8,23.59,64,0,3.09,IN,1678409861
215,mlowo,-9.0,32.9833,15.66,91,100,1.53,TZ,1678410080
216,bo rai,12.5728,102.5371,27.07,77,12,1.25,TH,1678410080
217,berlevag,70.8578,29.0864,-8.0,79,93,7.72,NO,1678410029
218,thayetmyo,19.3167,95.1833,26.5,30,100,0.88,MM,1678410080
219,jaisalmer,26.9147,70.9181,22.63,20,0,3.19,IN,1678410080
220,ostrovnoy,68.0531,39.5131,-15.59,97,100,4.52,RU,1678409805
221,brigantine,39.4101,-74.3646,6.12,82,26,3.07,US,1678410081
222,nampula,-15.1165,39.2666,21.16,96,100,1.89,MZ,1678410081
223,kapit,2.0167,112.9333,24.97,95,100,0.53,MY,1678410081
224,talnakh,69.4865,88.3972,-19.89,98,100,5.63,RU,1678409619
225,khandyga,62.6667,135.6,-14.66,80,100,2.67,RU,1678410081
226,wasilla,61.5814,-149.4394,5.17,55,0,1.79,US,1678410031
227,mafeteng,-29.823,27.2374,11.96,35,0,1.15,LS,1678410081
228,pervomayskoye,43.919,46.7102,5.03,97,79,1.0,RU,1678410081
229,kabanjahe,3.1001,98.4908,18.69,89,52,0.76,ID,1678410082
230,dongsheng,39.8161,109.9776,5.72,38,0,7.52,CN,1678409846
231,nasirabad,26.3,74.7333,18.39,36,0,2.44,IN,1678410082
232,nuuk,64.1835,-51.7216,-6.61,81,73,3.92,GL,1678409871
233,lompoc,34.6391,-120.4579,13.9,77,100,4.92,US,1678409827
234,riberalta,-10.9833,-66.1,23.3,98,100,0.7,BO,1678410082
235,sept-iles,50.2001,-66.3821,-1.92,84,83,3.85,CA,1678410082
236,komsomolskiy,40.4272,71.7189,10.4,81,99,2.06,UZ,1678409859
237,mezen,65.8522,44.24,-15.49,97,100,2.34,RU,1678410082
238,severo-yeniseyskiy,60.3725,93.0408,-28.37,100,100,1.96,RU,1678410082
239,abu zabad,12.35,29.25,24.61,11,100,6.74,SD,1678410083
240,grand gaube,-20.0064,57.6608,26.22,89,100,1.34,MU,1678409807
241,machiques,10.0644,-72.545,25.62,77,100,3.04,VE,1678410083
242,miami,25.7743,-80.1937,22.23,67,0,1.34,US,1678409763
243,riyadh,24.6877,46.7219,21.08,42,100,5.67,SA,1678409407
244,shimoda,34.6667,138.95,18.95,77,53,7.67,JP,1678409818
245,caravelas,-17.7125,-39.2481,24.74,86,100,2.19,BR,1678409825
246,awjilah,29.1081,21.2869,16.72,47,0,2.85,LY,1678409817
247,luanda,-8.8368,13.2343,26.0,83,75,2.57,AO,1678410042
248,pacifica,37.6138,-122.4869,11.8,89,100,13.89,US,1678410084
249,ilhabela,-23.7781,-45.3581,25.89,82,100,1.26,BR,1678409864
250,burns lake,54.2331,-125.7533,-3.64,89,98,1.77,CA,1678410084
251,qaqortoq,60.7167,-46.0333,-5.9,72,100,4.32,GL,1678410084
252,ancud,-41.8697,-73.8203,13.12,95,100,4.46,CL,1678409849
253,hovd,48.0056,91.6419,-4.7,36,7,1.32,MN,1678409862
254,hasaki,35.7333,140.8333,19.22,76,100,11.09,JP,1678409826
255,salta,-24.7859,-65.4117,23.33,73,20,3.09,AR,1678409402
256,meulaboh,4.1363,96.1285,24.46,91,100,2.36,ID,1678410028
257,farsund,58.0948,6.8047,-2.81,66,100,7.03,NO,1678410084
258,alice springs,-23.7,133.8833,25.75,31,0,5.66,AU,1678409828
259,kualakapuas,-3.0091,114.3876,28.46,72,72,0.12,ID,1678410084
260,san-pedro,4.7485,-6.6363,26.51,89,86,2.57,CI,1678410046
261,dasoguz,41.8363,59.9666,11.17,59,100,4.79,TM,1678410085
262,dornoch,57.8805,-4.0288,1.99,82,100,6.17,GB,1678410085
263,colares,38.7992,-9.4469,16.29,94,95,3.58,PT,1678410085
264,gat,31.61,34.7642,11.89,67,0,1.87,IL,1678410030
265,la baule-escoublac,47.2922,-2.364,10.81,87,100,14.4,FR,1678410003
266,samana,19.2056,-69.3369,23.75,64,98,5.08,DO,1678410085
267,kalat,29.0225,66.5916,11.34,36,100,1.57,PK,1678410085
268,serpneve,46.3009,29.0196,11.84,71,100,3.19,UA,1678410085
269,kailua,21.4022,-157.7394,26.47,53,32,2.68,US,1678410085
270,sao joao da barra,-21.6403,-41.0511,26.05,85,100,7.07,BR,1678409832
271,nelson bay,-32.7167,152.15,27.83,62,37,7.6,AU,1678410051
272,kyra,49.5776,111.9753,-8.72,61,0,8.05,RU,1678410086
273,chuy,-33.6971,-53.4616,19.89,90,1,3.18,UY,1678409831
274,christchurch,-43.5333,172.6333,23.84,64,6,6.69,NZ,1678409775
275,sungai besar,3.6746,100.9867,24.81,88,100,2.0,MY,1678410086
276,itagi,-14.1628,-40.0061,21.17,96,100,0.7,BR,1678410086
277,bethanien,-26.502,17.1583,19.03,35,0,1.49,NA,1678410086
278,twentynine palms,34.1356,-116.0542,21.09,16,8,3.13,US,1678410086
279,bilma,18.6853,12.9164,24.84,11,35,5.74,NE,1678410087
280,kolokani,13.5728,-8.0339,23.92,9,0,3.67,ML,1678410087
281,broome,42.2506,-75.833,0.39,82,100,4.63,US,1678410087
